ID,用户能力水平,年龄标签,性别,分配,录制参考文本,录制参考音频,录音要求,,,,,,,
1,初级,青少年,男,题目1,,,,,,,,,,
1,初级,青少年,男,题目1,你这句话是什么意思？你说的是什么意思？,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856435648561161/847c907c-bc5c-42d3-93da-826bde0e91fd?lk3s=ec46513b&x-expires=2080655354&x-signature=qpbdodMNV6U36LyZJCqtiogcOEw%3D,,,,,,,,
1,初级,青少年,男,题目1,能不能给我来一点简单的？,https://lf3-bigspeech-sign.bytetos.com/bigspeech-platform/7647856432394174510/fd959ecc-3fd3-41e8-a8d6-ca241e738b47?lk3s=ec46513b&x-expires=2080655354&x-signature=DQNRIp%2B8vumebIgX1mIUV5IQUms%3D,,,,,,,,
1,初级,青少年,男,题目1,How are you?,https://lf9-bigspeech-sign.bytetos.com/bigspeech-platform/7647856406813114406/d98e72bb-2575-465a-9247-37b707e75a4d?lk3s=ec46513b&x-expires=2080655354&x-signature=ptqB5dcuvBR3CjWLjqlT77W4Z4E%3D,how发音像haw,,,,,,,
1,初级,青少年,男,题目1,I'm fine,https://lf9-bigspeech-sign.bytetos.com/bigspeech-platform/7647856435648577545/30b201e7-83c1-4e11-b61b-613c72617feb?lk3s=ec46513b&x-expires=2080655354&x-signature=KgKoiphnkeEXx%2Fc4xqdGEk%2FrR%2BI%3D,fine发音像five,,,,,,,
1,初级,青少年,男,题目1,What's your name,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856412827861018/a9c0f6b6-2e8c-46c1-afd0-4af4f136604f?lk3s=ec46513b&x-expires=2080655354&x-signature=dIo0PgnJF0YlAxDcJaeqUBAiKWw%3D,name发音像lame,,,,,,,
1,初级,青少年,男,题目1,我不是豆包。,https://lf9-bigspeech-sign.bytetos.com/bigspeech-platform/7647856422260736051/81b76e55-4400-4210-95d5-a087746c3dcf?lk3s=ec46513b&x-expires=2080655354&x-signature=XUT7bsbQIfT4XLsMnd5EPUQDSUk%3D,,,,,,,,
1,初级,青少年,男,题目1,我叫陈。,https://lf3-bigspeech-sign.bytetos.com/bigspeech-platform/7647856432394125358/c81d14b5-b159-46c7-98f2-fff2ec3f6080?lk3s=ec46513b&x-expires=2080655354&x-signature=17iKU%2BXm3ToNCDe1lewAVQ1l4aA%3D,,,,,,,,
1,初级,青少年,男,题目1,My name is Chen.,https://lf3-bigspeech-sign.bytetos.com/bigspeech-platform/7647856417831190537/01bb0d00-677a-4d69-9c8d-7fc81e6f2ae7?lk3s=ec46513b&x-expires=2080655354&x-signature=WbGdYXCDDhW8XxmEBWelwksgFmY%3D,name发音像lame,,,,,,,
1,初级,青少年,男,题目1,我才 3 岁。,https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856422260768819/3de87add-b369-4879-a356-e1814cbde31a?lk3s=ec46513b&x-expires=2080655354&x-signature=sCu8aijQsv4AwPCXFTi7HbNWp14%3D,,,,,,,,
1,初级,青少年,男,题目1,我看不懂呀，你说的什么？,https://lf9-bigspeech-sign.bytetos.com/bigspeech-platform/7647856417831223305/b9e01f31-ae97-424f-be4e-9b01e3439dc1?lk3s=ec46513b&x-expires=2080655354&x-signature=RwEiAF0yNNuvKrCNklBj96%2BB8CU%3D,,,,,,,,
1,初级,青少年,男,题目1,哇哦， so cute。,https://lf3-bigspeech-sign.bytetos.com/bigspeech-platform/7647856422260834355/df8e5fe8-7ba4-41c9-9802-96b1531fbefc?lk3s=ec46513b&x-expires=2080655354&x-signature=YmbQ0t5RVxxjyA0M5kzr1nDPM88%3D,,,,,,,,
1,初级,青少年,男,题目1,我喜欢开车。,https://lf3-bigspeech-sign.bytetos.com/bigspeech-platform/7647856413847060530/ed167ec0-c8e2-4888-a478-c1810c9f1179?lk3s=ec46513b&x-expires=2080655354&x-signature=8p7jl%2BJO9Rl4JpEc84h%2FeC9o5Zc%3D,,,,,,,,
1,初级,青少年,男,题目1,I like drive a car.,https://lf3-bigspeech-sign.bytetos.com/bigspeech-platform/7647856418405793842/75a0b710-d72e-48d4-aa7b-6507afc62801?lk3s=ec46513b&x-expires=2080655354&x-signature=PHOeLoamYD%2F6MBmFAb0EIYsIzh0%3D,"like发音像life, driving发音像drifing",,,,,,,
2,初级,大学生,女,,,,,,,,,,,
2,初级,大学生,女,,I'm fine thank you,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856419068510259/fbc2f68b-3fe0-4977-86bb-3af8ce294714?lk3s=ec46513b&x-expires=2080655354&x-signature=vVcIsSMMQjKuIK%2FhWbsNdDmbXgY%3D,,,,,,,,
2,初级,大学生,女,,"I told you that I quarreled with my friends yesterday. No, I get along with you. With her.",https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856441054773294/8c06ee28-b130-40d7-af48-0eac9bbb121d?lk3s=ec46513b&x-expires=2080655355&x-signature=rlSl3eUrlT1Ak92arC8oTXGGUGw%3D,now的发音像no,,,,,,,
2,初级,大学生,女,,I think that i'm so happy,https://lf3-bigspeech-sign.bytetos.com/bigspeech-platform/7647856417831256073/f5839c5b-3d9c-4e27-b930-7e9bf4bf1424?lk3s=ec46513b&x-expires=2080655354&x-signature=kkyH4lFJGbt4Rn%2Bi%2FMWP5NEyqUw%3D,,,,,,,,
